Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6619997,15.73700047,15.78299999,15.77099991,15.74699974,15.78100014,15.58199978,15.39900017,15.27000046,15.19299984,15.14500046,15.3380003,15.59200001,15.86200047,16.11899948,16.35899925,16.07900047,15.80599976,15.58699989,15.46700001,15.46899986,15.89799976,16.44199944,17.42399979,18.45999908,19.55200005,20.70400047,21.90999985,22.37700081,22.56699944,22.75499916
Angola,AGO,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73500061,76.68699646,76.65599823,76.68199921,76.64199829,76.5759964,76.54699707,76.53500366,76.52700043,76.51599884,76.49099731,76.48500061,76.44100189,76.41999817,76.38899994,76.36499786,76.39199829,76.41799927,76.45800018,76.53099823,76.59200287,76.67299652,76.73100281,76.78800201,76.83100128,76.86599731,76.90000153,76.91000366,76.90899658,76.89399719,76.86799622
Albania,ALB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.56999969,61.27600098,61.8030014,60.88000107,60.06999969,58.91600037,58.24399948,59.10900116,58.4469986,57.54600143,57.04199982,56.42100143,56.06000137,55.30199814,54.5719986,53.88399887,53.42699814,53.06700134,52.77999878,51.5719986,52.7480011,53.85100174,55.09700012,50.58399963,50.85599899,54.5379982,55.1969986,55.89099884,56.21900177,56.49399948,56.79999924
Andorra,AND,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5089106,20.58981148,20.53689317,20.68423413,21.10549737,21.02182278,20.91893782,20.68275863,20.53541686,21.05835621,21.15331826,21.14973497,20.74911886,21.05934276,21.23178084,21.37083009,21.56736929,22.07357496,21.78774228,22.02908773,22.11607267,22.17724853,22.39825565,22.76924328,22.77037111,22.63810248,22.7853367,22.16730224,22.15740925,22.21827932,22.26492474
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85199928,29.625,30.28499985,31.18400002,31.5909996,31.94599915,32.24499893,32.66500092,33.21900177,33.86399841,34.51499939,34.82500076,35.34899902,36.0719986,36.94300079,37.875,38.95999908,40.22900009,41.65999985,43.19100189,44.72900009,45.85900116,47.0719986,48.38100052,49.77199936,51.19400024,52.06299973,53.22800064,53.1609993,53.24700165,53.39500046
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.98199844,52.84500122,53.65299988,54.52899933,55.18500137,54.95500183,55.64099884,56.61199951,57.17900085,56.99200058,57.06200027,56.78099823,55.72299957,56.69300079,57.68199921,56.69400024,57.33000183,56.45899963,55.59199905,56.2820015,55.21300125,55.59899902,55.92300034,55.56800079,54.76300049,55.58100128,56.38199997,57.16500092,59.01900101,59.00500107,58.98899841
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19499969,52.47600174,52.75,53.0019989,53.20100021,53.32600021,53.33399963,53.27899933,53.18700027,53.09799957,53.0359993,53.01699829,53.02500153,53.0530014,53.08599854,53.11700058,53.14300156,53.17100143,53.1570015,53.38899994,54.84700012,57.73300171,58.18999863,58.6590004,57.97499847,57.17900085,55.25699997,55.25,55.38800049,55.62099838,55.85100174
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
