country,medianHouseholdIncome,medianPerCapitaIncome,medianAnnualIncome,pop2021
Luxembourg,52493,18418,73910,634.814
Norway,51489,19308,82500,5465.63
Sweden,50514,18632,55840,10160.169
Australia,46555,15026,54910,25788.215
Denmark,44360,18262,63240,5813.298
United States,43585,15480,65760,332915.073
Canada,41280,15181,46370,38067.903
South Korea,40861,11950,33720,51305.186
Kuwait,40854,7487,,4328.55
Netherlands,38584,14450,53200,17173.099
New Zealand,35562,12147,42670,4860.643
Hong Kong,35443,9705,50840,7552.81
Austria,34911,12284,51300,9043.07
Japan,33822,10840,41690,126050.804
Germany,33333,14098,48520,83900.473
Taiwan,32762,6882,,23855.01
Singapore,32360,7345,59590,5896.686
United Kingdom,31617,12399,42370,68207.116
France,31112,12445,42400,65426.179
Israel,30364,7847,43290,8789.774
Belgium,26703,10189,47350,11632.326
Qatar,26555,5117,,2930.528
Slovenia,25969,8656,,2078.724
Ireland,25085,8048,62210,4982.907
Saudi Arabia,24980,4762,22850,35340.683
Bahrain,24693,4778,,1748.296
Finland,24615,15725,49580,5548.36
Czech Republic,22913,7821,,10724.555
Spain,21959,7284,30390,46745.216
Malta,21141,6869,,442.784
Italy,20085,6874,34460,60367.477
Cyprus,18242,4932,,1215.584
Greece,17777,6086,20320,10370.744
Slovakia,17415,5455,,5460.721
Croatia,16231,5177,14910,4081.651
Portugal,16186,5519,23080,10167.925
Poland,15338,4578,15200,37797.005
Belarus,15085,5236,6280,9442.862
Argentina,14432,4109,11200,45605.826
Lebanon,13004,2960,,6769.146
Estonia,12577,5031,,1325.185
Hungary,12445,4493,16140,9634.164
Lithuania,12375,4719,,2689.862
Iran,12046,3115,5420,85028.759
Russia,11724,4129,11260,145912.025
Mexico,11680,2900,9430,130262.216
Montenegro,11519,3123,,628.053
Azerbaijan,11446,2430,,10223.342
Venezuela,11299,2328,13080,28704.954
Malaysia,11207,2267,11200,32776.194
Ukraine,11074,3876,3370,43466.819
Latvia,10461,4000,,1866.942
Tunisia,8966,1646,,11935.766
Turkey,8955,2538,9610,85042.738
Costa Rica,8929,2032,11700,5139.052
Serbia,8921,3020,7020,8697.55
Macedonia,8606,1990,,2082.658
Bulgaria,8487,2829,9410,6896.663
Panama,8356,2011,,4381.579
Jordan,8276,1550,,10269.021
Syria,8193,1431,,18275.702
Chile,8098,2040,15010,19212.361
Uruguay,7949,2488,,3485.151
Romania,7922,2618,12630,19127.774
Algeria,7849,1392,,44616.624
Brazil,7522,2247,9130,213993.437
Kazakhstan,7492,1958,,18994.962
Bosnia and Herzegovina,7383,2553,,3263.466
Albania,7314,1902,5240,2872.933
Thailand,7029,1795,7260,69950.85
Ecuador,6858,1682,6080,17888.475
Mauritania,6679,778,,4775.119
Morocco,6634,1135,3190,37344.795
Colombia,6544,1534,6510,51265.844
Nicaragua,6488,1173,,6702.385
Bolivia,6399,1403,3530,11832.94
Libya,6398,1012,,6958.532
Dominican Republic,6302,1623,,10953.703
China,6180,1786,10410,1444216.107
Paraguay,6179,1292,,7219.638
Mongolia,5922,1440,,3329.289
South Africa,5217,1217,6040,60041.994
Peru,5161,1077,6740,33359.418
Tajikistan,5137,713,,9749.627
Iraq,4917,617,,41179.35
Honduras,4848,821,,10062.991
El Salvador,4828,1114,,6518.499
Vietnam,4783,1124,2540,98168.833
Guatemala,4516,898,,18249.86
Moldova,4158,1329,,4024.019
Afghanistan,4121,378,540,39835.428
Pakistan,4060,480,1530,225199.937
Kyrgyzstan,4034,828,,6628.356
Comoros,3912,598,,888.451
Senegal,3897,402,,17196.301
Armenia,3865,926,,2968.127
Sudan,3640,579,590,44909.353
Botswana,3603,740,,2397.241
Angola,3534,720,,33933.61
Laos,3379,615,2570,7379.358
Sri Lanka,3242,719,,21497.31
Yemen,3178,400,,30490.64
India,3168,616,2130,1393409.038
Egypt,3111,623,2690,104258.327
Bangladesh,2819,567,1940,166303.498
Haiti,2735,627,,11541.685
Nepal,2718,519,,29674.92
Niger,2708,307,,25130.817
Nigeria,2667,493,2030,211400.708
Georgia,2591,734,,3979.765
Philippines,2401,478,3850,111046.913
Chad,2394,338,,16914.985
Sierra Leone,2330,233,,8141.343
Cambodia,2308,451,1480,16946.438
Indonesia,2199,541,4050,276361.783
Tanzania,2154,384,,61498.437
Republic of the Congo,2106,416,,5657.013
Cameroon,2075,403,1500,27224.265
Ghana,2050,47,,31732.129
DR Congo,1988,308,520,92377.993
Mali,1983,165,,20855.735
Kenya,1870,402,1750,54985.698
Uganda,1775,296,,47123.531
Burkina Faso,1530,168,,21497.096
Benin,1502,237,,12451.04
Zambia,1501,287,,18920.651
Rwanda,1101,235,,13276.513
Madagascar,1013,205,,28427.328
Liberia,781,118,,5180.203
Burundi,673,129,,12255.433
Togo,571,279,,8478.25
Liechtenstein,,,116430,38.25
Monaco,,,186080,39.511
Bermuda,,,106140,62.09
Iceland,,,72850,343.353
Equatorial Guinea,,,6460,1449.896
Switzerland,,,85500,8715.494
United Arab Emirates,,,43470,9991.089
Ethiopia,,,850,117876.227
