Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Age dependency ratio (% of working-age population),SP.POP.DPND,Afghanistan,AFG,81.61727673,82.68868503,83.28938659,83.60406479,83.85383659,84.13051616,85.3376013,86.3875875,87.28819498,88.00433796,88.5257787,89.77756286,90.71121808,91.37867189,91.80304083,91.94576152,92.98885748,93.8584035,94.51051392,94.81592217,94.60742703,95.76230668,96.72381685,97.51523695,98.2848543,99.26418084,100.0379923,100.3184509,100.4199363,100.8525109,102.1866962,101.8558297,101.5728911,101.4977094,101.3616658,100.7510433,101.779456,102.8217575,103.6507866,104.2758194,104.8563991,104.4761053,103.6711832,102.6632376,101.5623708,100.3491273,100.9709434,101.6001828,102.0786589,102.2490139,102.0458229,100.2244608,97.92594708,95.33874179,92.64914092,89.95409233,87.94179015,86.0007531,84.07765608,82.10977467,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Albania,ALB,83.71052556,84.95448011,86.24139162,87.43450876,88.28750005,88.64741337,88.84575209,88.45907512,87.64598137,86.63365582,85.54684072,84.24801044,83.01880019,81.74230321,80.26114243,78.54562328,77.07658544,75.33606918,73.49834024,71.78705438,70.29962454,68.99512615,67.87362019,66.89034434,65.97989105,65.13035763,64.42528789,63.81734688,63.27509683,62.70436688,61.99490929,62.71540506,63.31197947,63.74301288,64.07723386,64.40525431,63.35169646,62.42452164,61.58218352,60.71301915,59.72358599,58.68645122,57.5428762,56.31671298,55.0733347,53.8499697,52.61953224,51.6043425,50.75273712,50.04407756,49.47790868,48.11805823,47.0330799,46.25665586,45.77467951,45.55040246,45.64503371,45.68209749,45.81003739,46.20352176,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Algeria,DZA,91.64958645,93.78549394,96.54571709,99.42341524,101.6494878,102.8611753,103.9946511,103.952194,103.1813031,102.3135738,101.646505,101.7220688,101.8973823,102.0530802,101.9719531,101.573302,101.5385214,101.1342188,100.4918857,99.77837536,99.07708525,98.67303779,98.08559279,97.33137241,96.38116159,95.21474795,94.1255042,92.79173187,91.25059523,89.52998565,87.64612874,85.77588418,83.75662182,81.57295822,79.18647394,76.58745839,74.0659637,71.33041563,68.48971648,65.69876058,63.05268003,60.2510598,57.75290606,55.51531284,53.51013457,51.7731857,50.49048192,49.55799223,48.95977672,48.66997276,48.67453557,49.21309473,49.77822268,50.49721717,51.50918943,52.8377883,54.18401383,55.80400147,57.50803244,58.9904905,..
Age dependency ratio (% of working-age population),SP.POP.DPND,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Angola,AGO,82.27889849,84.62407291,87.12944723,89.2560926,90.43938529,90.57314248,90.74840158,90.14254163,89.69884971,90.26557,92.01022905,92.46779845,93.65195067,94.98615251,95.68696707,95.48807729,96.6087298,96.31115396,95.35412809,94.72791483,94.8269753,95.48259424,96.77241329,98.29228468,99.39787146,99.80795405,100.7000506,100.9320593,100.7264786,100.4084703,100.1182294,100.5954371,100.8653289,100.9469754,100.8224147,100.4874022,100.6294854,100.5100534,100.1751709,99.67862638,99.07118578,99.039403,98.82303514,98.47794517,98.07343972,97.66899601,97.82605281,97.86664559,97.84078527,97.76681937,97.63771432,97.98829923,98.14544727,98.13047813,97.94220557,97.56923863,97.29458812,96.82022783,96.17574044,95.39404182,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Antigua and Barbuda,ATG,89.4679734,89.84191633,90.28487698,90.83871836,91.4665338,92.13747954,92.31880336,92.72721551,93.36591099,94.09914175,94.51112323,91.68701972,89.29456907,87.44294254,86.12331554,85.17150708,82.72831151,80.56354394,78.88119954,77.69619091,76.84809331,74.77869849,72.9293212,71.43055324,70.31728092,69.4670726,67.74140975,66.11579146,64.83255504,63.85593108,63.25848564,62.21744362,61.18958922,60.29487023,59.61049757,59.02091101,57.91214726,56.88779975,56.01482933,55.24740125,54.49150476,53.50298211,52.63075813,51.83717234,51.09272146,50.34881146,49.62279512,48.84239987,48.02738776,47.20676079,46.40831601,46.01240041,45.51585385,45.01949102,44.62134587,44.365241,44.44172792,44.52353547,44.67784589,44.947912,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Arab World,ARB,88.06110988,89.48951316,90.78245083,91.89894837,92.72800706,93.20128956,94.0875347,94.48592222,94.54461015,94.43425084,94.22666617,94.52320269,94.59166053,94.48228771,94.24714158,93.93769054,93.80399097,93.55993959,93.22482136,92.79263587,92.25751967,91.96565465,91.53506377,90.9953673,90.38313187,89.71912781,89.44383903,89.02855491,88.51706986,87.9145345,87.33205319,86.51017052,85.8304434,84.7042274,83.43262321,81.8208524,80.54492471,79.19866661,77.81701043,76.42277966,75.01733276,73.60575447,72.18209921,70.77012402,69.40035382,68.09882451,66.90232806,65.78430978,64.77850133,63.91383041,63.20162357,62.57232832,62.08932935,61.73076532,61.44652984,61.19530725,61.2836149,61.25395127,61.16547352,61.08180065,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,57.68394567,57.78575232,57.7469969,57.60993446,57.43793932,57.26819413,57.26144174,57.23200791,57.19765702,57.17832898,57.19398348,57.41133351,57.65943935,57.94451889,58.28114755,58.68443781,59.43645192,60.28565422,61.1720135,61.9938348,62.69089473,63.61090641,64.16986018,64.51311796,64.83713009,65.2200965,65.3309094,65.64228743,65.97352731,66.07650894,65.86059761,65.8681056,65.54673587,65.01800279,64.46804314,63.97960764,63.57040054,63.15465665,62.73488139,62.28345388,61.78829425,61.237169,60.73698839,60.25089231,59.73096857,59.16315789,58.74958595,58.22838082,57.66954641,57.17997848,56.81596915,56.54174813,56.37918796,56.2922668,56.21224041,56.10360435,56.10227058,56.04635544,55.95447291,55.85703345,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Armenia,ARM,81.82780447,84.78679238,87.04574859,88.59709004,89.51048889,89.77532333,89.36304747,88.14766256,86.26636909,83.9716632,81.47130818,78.13178696,75.15617431,72.40096013,69.65234623,66.85538892,64.70093021,62.38680867,60.15273571,58.26931502,56.81276537,55.79049885,55.17438411,54.85904104,54.67538215,54.54856276,54.49416889,54.52170947,54.69898079,55.04716994,55.46283989,56.49954371,57.61916033,58.71495511,59.65156063,60.35602464,59.99677807,59.20127235,58.0990301,56.91792829,55.82842984,54.4144228,53.35870122,52.46030916,51.41256736,50.06332191,48.88219095,47.36233294,45.7750758,44.51103238,43.7908193,43.48168307,43.51390069,43.83938509,44.31489394,44.83817579,45.43115767,46.09426742,46.81532686,47.60064755,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Aruba,ABW,86.32411067,84.9906567,83.88004055,82.78096589,81.42257285,79.75556252,78.33086145,76.35711899,74.17218543,72.15642589,70.41664262,67.91909147,65.97786592,64.23041274,62.23431344,59.82978051,58.53154355,56.61581569,54.26056157,51.95196717,50.07116993,48.84252433,47.9761675,47.48310611,47.17758936,46.72564311,47.58864413,48.00019148,47.8982033,47.60211855,47.49970333,45.9361803,44.88183961,44.30379747,43.9429483,43.5382416,43.98698579,44.24544227,44.34300835,44.38081952,44.4243089,44.2515528,44.04731215,43.77148785,43.40052865,42.98926483,43.1487791,43.49182048,43.99693134,44.59282273,45.26840699,45.16821965,44.95498424,44.69926499,44.54813907,44.59272193,44.63906435,45.04033257,45.67362612,46.36745371,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,63.37707765,63.62505307,63.41542187,62.91714228,62.3736032,61.91548234,61.42303027,60.96958836,60.59948582,60.23052131,59.74354439,59.29121382,58.82980152,58.3343885,57.74629366,57.03322406,56.67460851,55.95412452,55.0714897,54.27347329,53.66750961,52.81220213,52.30609572,51.99707181,51.65659265,51.20214243,51.02335147,50.60887513,50.10821698,49.73954275,49.58453173,49.56553396,49.742895,50.00914897,50.19027606,50.21196494,50.25004476,50.15421682,49.97812969,49.81678988,49.71426642,49.41451032,49.14673657,48.913221,48.70896842,48.55723254,48.18525523,47.89079729,47.74597554,47.77266022,47.94845437,48.51375386,49.06719336,49.64057799,50.25970006,50.92505621,51.72993235,52.5996706,53.48508824,54.31300059,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Austria,AUT,52.40304592,53.37184133,54.29283087,55.248819,56.30932355,57.4750583,58.72189903,59.9907957,61.18797888,62.14351194,62.74848445,63.15674527,63.1649568,62.81350134,62.19597208,61.37342702,60.55401191,59.65388207,58.58024609,57.217783,55.56106643,53.95231628,52.13577718,50.32339197,48.77362736,47.61352459,47.11146455,46.78798703,46.63642428,46.62798059,46.73898772,47.1297718,47.70689765,48.35711173,48.85572613,49.0473809,49.11947761,48.83604772,48.32862321,47.84382836,47.52972806,47.32555784,47.27442496,47.33293386,47.39871392,47.42539525,47.60522483,47.75236341,47.87871292,48.0158431,48.18118727,48.31323632,48.4584345,48.64841934,48.88429406,49.16569239,49.43171196,49.6725857,49.92394012,50.23465844,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Azerbaijan,AZE,81.53977576,85.25063143,89.12542391,92.74586658,95.56076171,97.26151252,99.11737641,99.51643543,98.83462703,97.61537308,96.10506036,93.92575049,91.66881105,89.16167751,86.19423756,82.79178429,79.60406736,76.18060585,72.71255173,69.46455645,66.5860378,64.32909817,62.44305458,60.93796496,59.80057038,59.01710357,59.07188294,59.35383172,59.77841258,60.29576153,60.88491435,61.85033374,62.66138888,63.28857259,63.67212916,63.73644168,63.36740135,62.64345492,61.58278846,60.25193847,58.72417991,56.83473922,55.00384572,53.11963046,51.06440711,48.84357718,46.97755845,44.99448581,43.08668783,41.49127149,40.31861106,39.71100049,39.45825749,39.51680267,39.75419003,40.07645938,40.79124821,41.397422,41.97437775,42.62955997,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Bahamas, The",BHS,85.80200841,85.62514109,85.80218499,86.37794008,87.11812699,87.73406608,86.81181245,85.67135853,84.622546,83.94042887,83.64831018,81.48032186,80.5269675,80.20152884,79.72292069,78.70110212,77.64731884,75.60360649,73.16544908,71.10721614,69.7424737,67.64715042,66.62933253,66.16883836,65.51106056,64.33245065,63.64862552,62.16661223,60.33680637,58.85214867,57.99459833,57.0020151,56.80402223,56.99582995,56.92594763,56.29598639,56.21469082,55.51526697,54.47180834,53.58284413,53.11914021,52.46084166,52.06227604,51.80024918,51.53461983,51.2632471,50.80130833,50.55489364,50.29956618,49.87931766,49.24817089,48.43648733,47.40469559,46.25701573,45.1709308,44.26329364,43.32397891,42.72362252,42.33357078,41.96278544,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bahrain,BHR,79.48329779,83.03462411,85.99634762,89.01196842,92.20914346,94.97253776,93.35390075,92.02472014,91.10173527,90.39975604,89.75981578,86.67028181,82.66640096,78.52101391,74.9394093,72.18651283,68.10649731,64.82635264,62.19795318,59.92414311,57.82000289,57.1193388,56.77361962,56.67455729,56.69129247,56.7129102,56.47176881,55.87593002,55.19636495,54.46536074,53.54518913,53.10590907,52.18685357,50.96639779,49.65349352,48.47142364,48.23450452,47.87507457,47.75526124,47.96259449,48.35464343,45.89023906,43.65924151,41.76034428,40.15054661,38.74370385,35.81231499,33.4474252,31.5853408,30.08989349,28.85157552,29.02965615,29.21063748,29.47582646,29.81924462,30.16417459,29.4204093,28.55755075,27.68238859,26.96398345,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bangladesh,BGD,80.98500222,82.26794207,83.15312914,83.82121729,84.51282958,85.33066189,86.73160637,88.14008879,89.43500509,90.34414368,90.66802889,91.40113913,91.86516161,92.07537467,92.18945238,92.33059452,92.85008064,92.94941145,92.74305956,92.27213004,91.56468941,91.35033909,90.72872593,89.8365441,88.8275613,87.77156784,87.0174989,86.15716755,85.16958111,83.99121356,82.60450467,81.51899756,80.24870764,78.84361056,77.36637272,75.85580078,74.53279998,73.16886672,71.77914939,70.36953826,68.95066546,67.8417084,66.67370712,65.47281234,64.2627947,63.04818325,62.13690786,61.18088674,60.18654255,59.16622871,58.12468008,56.95038784,55.82698939,54.71881274,53.57866734,52.3958677,51.26001981,50.09169735,48.9522985,47.91743362,..
